epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.644,0.37883,1.70534,1.1122,0.72451,0.67431,0.76606,0.70968,0.33856,1.09152,0.47851,0.0670183,0.000333149,0.000333149
2,401.265,0.27874,1.06731,1.01801,0.73573,0.8288,0.8694,0.85891,0.23531,0.93824,0.35859,0.0340117,0.000659884,0.000659884
3,588.989,0.23848,0.90557,0.98877,0.85649,0.88014,0.94695,0.93445,0.26076,0.58302,0.37197,0.000998476,0.000980019,0.000980019
4,775.264,0.2147,0.79918,0.97269,0.93435,0.94401,0.984,0.96833,0.28666,0.42275,0.42234,0.0009703,0.0009703,0.0009703
5,962.123,0.19583,0.72276,0.96186,0.91186,0.9356,0.98118,0.93444,0.33711,0.4743,0.46507,0.0009604,0.0009604,0.0009604
6,1151.7,0.18387,0.67033,0.95368,0.93453,0.93302,0.98421,0.9827,0.22517,0.37006,0.32641,0.0009505,0.0009505,0.0009505
7,1345.05,0.17171,0.63174,0.94768,0.96355,0.96576,0.99041,0.98934,0.21717,0.29853,0.32531,0.0009406,0.0009406,0.0009406
8,1540.29,0.16608,0.59371,0.94561,0.96691,0.96754,0.99162,0.99151,0.19214,0.33923,0.2766,0.0009307,0.0009307,0.0009307
9,1734.02,0.16169,0.57036,0.94338,0.97864,0.97057,0.99255,0.99057,0.22252,0.28788,0.30821,0.0009208,0.0009208,0.0009208
10,1932.54,0.15853,0.55917,0.94142,0.97667,0.95939,0.99134,0.98968,0.18889,0.28612,0.28691,0.0009109,0.0009109,0.0009109
11,2132.42,0.15119,0.54199,0.93673,0.96779,0.96956,0.99241,0.99089,0.14235,0.2595,0.229,0.000901,0.000901,0.000901
12,2327.87,0.1488,0.52607,0.93619,0.983,0.98031,0.99208,0.99043,0.22959,0.26689,0.33515,0.0008911,0.0008911,0.0008911
13,2540.49,0.14645,0.51153,0.93514,0.97789,0.9828,0.99315,0.99279,0.18439,0.21859,0.28026,0.0008812,0.0008812,0.0008812
14,2734.79,0.14198,0.49515,0.93321,0.97941,0.97336,0.99276,0.99228,0.20609,0.26641,0.29096,0.0008713,0.0008713,0.0008713
15,2931.44,0.13806,0.48094,0.93026,0.95595,0.98055,0.98967,0.98824,0.20218,0.24122,0.29809,0.0008614,0.0008614,0.0008614
16,3123.84,0.13707,0.47593,0.93021,0.97944,0.98106,0.99359,0.99211,0.20296,0.25698,0.29983,0.0008515,0.0008515,0.0008515
17,3321.45,0.13298,0.46167,0.92969,0.98218,0.98651,0.99414,0.99061,0.20015,0.25229,0.28204,0.0008416,0.0008416,0.0008416
18,3519.63,0.12994,0.45499,0.92686,0.98902,0.98061,0.99339,0.98842,0.26785,0.28553,0.38424,0.0008317,0.0008317,0.0008317
19,3718.28,0.13055,0.4479,0.9277,0.98118,0.98807,0.99425,0.99262,0.20185,0.22852,0.2984,0.0008218,0.0008218,0.0008218
20,3909.7,0.127,0.44329,0.9244,0.98175,0.98833,0.99435,0.99408,0.14641,0.23555,0.23738,0.0008119,0.0008119,0.0008119
21,4099.86,0.12652,0.43712,0.92476,0.98786,0.99424,0.99452,0.99403,0.16982,0.23846,0.26978,0.000802,0.000802,0.000802
22,4297.35,inf,0.42976,0.92634,0.98914,0.99048,0.99466,0.99419,0.18545,0.24144,0.28915,0.0007921,0.0007921,0.0007921
